"","death","cvd","resp","temp","rhum","time","year","month","day","season"
"1",137,61,15,36,98.75,1,1997,1,1,"Winter"
"2",123,57,13,45,95.375,2,1997,1,2,"Winter"
"3",127,58,13,40,97.125,3,1997,1,3,"Winter"
"4",146,56,12,51.5,91.5,4,1997,1,4,"Winter"
"5",102,45,7,27,71.875,5,1997,1,5,"Winter"
"6",127,54,14,17,55,6,1997,1,6,"Winter"
"7",116,54,8,16,60,7,1997,1,7,"Winter"
"8",118,49,15,19,68.375,8,1997,1,8,"Winter"
"9",148,67,19,26,91.875,9,1997,1,9,"Winter"
"10",121,45,16,16,83.375,10,1997,1,10,"Winter"
"11",110,46,9,1.5,73.25,11,1997,1,11,"Winter"
"12",127,64,5,1,63.125,12,1997,1,12,"Winter"
"13",129,57,9,3,79.625,13,1997,1,13,"Winter"
"14",151,60,13,10,82.375,14,1997,1,14,"Winter"
"15",128,56,7,19,99,15,1997,1,15,"Winter"
"16",132,68,10,9.5,63.625,16,1997,1,16,"Winter"
"17",116,59,7,-3,58.625,17,1997,1,17,"Winter"
"18",142,44,14,0,71,18,1997,1,18,"Winter"
"19",124,53,9,14,90.75,19,1997,1,19,"Winter"
"20",124,58,7,31,85.625,20,1997,1,20,"Winter"
"21",127,67,15,35,94.25,21,1997,1,21,"Winter"
"22",121,47,14,36.5,71.25,22,1997,1,22,"Winter"
"23",134,68,17,26,74.625,23,1997,1,23,"Winter"
"24",120,56,9,32,95.125,24,1997,1,24,"Winter"
"25",109,48,14,14.5,77,25,1997,1,25,"Winter"
"26",109,41,6,11,90.125,26,1997,1,26,"Winter"
"27",115,51,7,17,78.375,27,1997,1,27,"Winter"
"28",105,47,7,2,66.875,28,1997,1,28,"Winter"
"29",114,49,15,8,75.125,29,1997,1,29,"Winter"
"30",120,48,11,16.5,84,30,1997,1,30,"Winter"
"31",117,44,17,31.5,81.875,31,1997,1,31,"Winter"
"32",126,56,7,35,82,32,1997,2,32,"Winter"
"33",97,37,5,36.5,82.375,33,1997,2,33,"Winter"
"34",96,35,8,30,83.5,34,1997,2,34,"Winter"
"35",119,59,13,34.5,95,35,1997,2,35,"Winter"
"36",125,46,9,30,83.5,36,1997,2,36,"Winter"
"37",116,43,14,26,87.875,37,1997,2,37,"Winter"
"38",118,54,9,25.5,85.125,38,1997,2,38,"Winter"
"39",121,57,8,25.5,90.125,39,1997,2,39,"Winter"
"40",114,52,5,26,75.25,40,1997,2,40,"Winter"
"41",111,51,11,27,79.875,41,1997,2,41,"Winter"
"42",107,44,8,23.5,80.5,42,1997,2,42,"Winter"
"43",127,48,10,21,68,43,1997,2,43,"Winter"
"44",98,42,7,20.5,67.25,44,1997,2,44,"Winter"
"45",104,41,8,25.5,81.25,45,1997,2,45,"Winter"
"46",122,53,7,20,71.25,46,1997,2,46,"Winter"
"47",124,53,14,18.5,71,47,1997,2,47,"Winter"
"48",120,51,13,30,71.375,48,1997,2,48,"Winter"
"49",106,48,5,48.5,67.875,49,1997,2,49,"Winter"
"50",103,44,14,37.5,80.75,50,1997,2,50,"Winter"
"51",139,68,11,35.5,97.375,51,1997,2,51,"Winter"
"52",133,57,13,36,95.625,52,1997,2,52,"Winter"
"53",109,50,12,26,77.125,53,1997,2,53,"Winter"
"54",121,43,12,28,63.625,54,1997,2,54,"Winter"
"55",111,47,12,21.5,66.125,55,1997,2,55,"Winter"
"56",105,50,14,25.5,79.875,56,1997,2,56,"Winter"
