"species","culmen_length_mm","culmen_depth_mm","flipper_length_mm","body_mass_g"
"Adelie",39.5,16.7,178,3250
"Gentoo",45.1,14.4,210,4400
"Gentoo",45.3,13.7,210,4300
"Gentoo",45.8,14.6,210,4200
"Adelie",36.7,19.3,193,3450
"Adelie",36.8,18.5,193,3500
"Chinstrap",45.2,17.8,198,3950
"Adelie",37.9,18.6,193,2925
"Chinstrap",43.5,18.1,202,3400
"Gentoo",43.3,14,208,4575
"Adelie",39.6,20.7,191,3900
"Adelie",37.3,16.8,192,3000
"Chinstrap",46.1,18.2,178,3250
"Adelie",35.9,16.6,190,3050
"Adelie",38.9,17.8,181,3625
"Adelie",33.5,19,190,3600
"Gentoo",47.5,15,218,4950
"Adelie",38.1,17.6,187,3425
"Adelie",36.2,16.1,187,3550
"Chinstrap",46.2,17.5,187,3650
"Chinstrap",46.4,18.6,190,3450
"Gentoo",46.5,14.5,213,4400
"Gentoo",45.5,13.7,214,4650
"Gentoo",43.8,13.9,208,4300
"Adelie",37,16.9,185,3000
"Gentoo",46.6,14.2,210,4850
"Adelie",40.9,16.8,191,3700
"Adelie",36.2,17.3,187,3300
"Chinstrap",47,17.3,185,3700
"Gentoo",46.5,14.8,217,5200
"Adelie",39,17.1,191,3050
"Gentoo",43.5,14.2,220,4700
"Chinstrap",45.7,17.3,193,3600
"Adelie",38.6,17,188,2900
"Adelie",36.5,16.6,181,2850
"Adelie",38.1,18.6,190,3700
"Adelie",38.1,16.5,198,3825
"Chinstrap",43.2,16.6,187,2900
"Gentoo",47.2,15.5,215,4975
"Chinstrap",50.2,18.7,198,3775
"Chinstrap",42.5,16.7,187,3350
