"species","culmen_length_mm","culmen_depth_mm","flipper_length_mm","body_mass_g"
"Adelie",36.4,17.1,184,2850
"Adelie",36,17.8,195,3450
"Adelie",35,17.9,190,3450
"Gentoo",48.2,14.3,210,4600
"Adelie",37.8,18.3,174,3400
"Chinstrap",48.1,16.4,199,3325
"Chinstrap",42.4,17.3,181,3600
"Gentoo",41.7,14.7,210,4700
"Gentoo",48.7,14.1,210,4450
"Gentoo",45.8,14.2,219,4700
"Gentoo",46.9,14.6,222,4875
"Chinstrap",50.5,18.4,200,3400
"Adelie",37.9,18.6,172,3150
"Adelie",36.2,17.2,187,3150
"Gentoo",45.1,14.5,215,5000
"Adelie",42.2,18.5,180,3550
"Gentoo",42.7,13.7,208,3950
"Adelie",38.8,17.6,191,3275
"Gentoo",42.8,14.2,209,4700
"Adelie",35.5,17.5,190,3700
"Adelie",38.9,18.8,190,3600
"Gentoo",47.4,14.6,212,4725
"Adelie",36.5,18,182,3150
"Adelie",37.3,17.8,191,3350
"Chinstrap",46.9,16.6,192,2700
"Adelie",40.2,17,176,3450
"Gentoo",43.3,13.4,209,4400
"Gentoo",49.1,14.8,220,5150
"Gentoo",42.6,13.7,213,4950
"Adelie",35.7,17,189,3350
"Gentoo",46.1,13.2,211,4500
"Adelie",36,18.5,186,3100
"Gentoo",45.7,13.9,214,4400
"Adelie",32.1,15.5,188,3050
"Chinstrap",50.1,17.9,190,3400
"Adelie",37.7,16,183,3075
"Adelie",39.5,17.8,188,3300
"Adelie",36.6,18.4,184,3475
"Adelie",39.7,17.7,193,3200
"Gentoo",44.5,14.7,214,4850
"Gentoo",46.4,15,216,4700
"Gentoo",47.2,13.7,214,4925
"Chinstrap",40.9,16.6,187,3200
"Gentoo",45.4,14.6,211,4800
"Chinstrap",45.4,18.7,188,3525
"Gentoo",45.5,13.9,210,4200
"Adelie",37,16.5,185,3400
"Gentoo",49.1,14.5,212,4625
"Adelie",34.6,17.2,189,3200
"Gentoo",46.2,14.5,209,4800
"Gentoo",47.5,14.2,209,4600
"Adelie",39.6,17.7,186,3500
"Adelie",33.1,16.1,178,2900
"Adelie",36.7,18.8,187,3800
"Adelie",38.7,19,195,3450
"Gentoo",48.5,15,219,4850
"Gentoo",47.5,14,212,4875
"Adelie",38.1,17,181,3175
"Gentoo",50.5,15.2,216,5000
"Adelie",35.7,18,202,3550
"Adelie",36.9,18.6,189,3500
"Chinstrap",45.9,17.1,190,3575
"Gentoo",45.2,13.8,215,4750
"Adelie",35.6,17.5,191,3175
"Adelie",34.4,18.4,184,3325
"Adelie",35.5,16.2,195,3350
"Gentoo",46.2,14.1,217,4375
"Adelie",38.6,17.2,199,3750
"Adelie",34,17.1,185,3400
"Adelie",35.3,18.9,187,3800
"Gentoo",48.4,14.4,203,4625
"Adelie",38.5,17.9,190,3325
"Gentoo",42,13.5,210,4150
"Gentoo",45.2,14.8,212,5200
"Adelie",36,17.9,190,3450
"Chinstrap",47.5,16.8,199,3900
"Chinstrap",46.6,17.8,193,3800
"Gentoo",45.5,14.5,212,4750
"Gentoo",44.9,13.3,213,5100
"Chinstrap",46,18.9,195,4150
"Chinstrap",42.5,17.3,187,3350
"Adelie",40.3,18,195,3250
"Chinstrap",45.7,17,195,3650
"Adelie",36.6,17.8,185,3700
"Gentoo",47.7,15,216,4750
"Gentoo",44.9,13.8,212,4750
"Chinstrap",45.2,16.6,191,3250
"Chinstrap",46.8,16.5,189,3650
"Adelie",36,17.1,187,3700
"Gentoo",45.3,13.8,208,4200
"Gentoo",46.8,14.3,215,4850
"Gentoo",45.1,14.5,207,5050
"Adelie",39.6,17.2,196,3550
"Chinstrap",45.5,17,196,3500
"Adelie",35.9,19.2,189,3800
"Gentoo",43.5,15.2,213,4650
"Adelie",36.4,17,195,3325
"Chinstrap",50.9,17.9,196,3675
"Adelie",37.6,19.3,181,3300
"Chinstrap",45.6,19.4,194,3525
"Adelie",40.5,17.9,187,3200
"Adelie",41.1,17.6,182,3200
"Gentoo",44,13.6,208,4350
"Chinstrap",46.7,17.9,195,3300
"Adelie",40.2,17.1,193,3400
"Adelie",39.5,17.4,186,3800
"Gentoo",43.4,14.4,218,4600
"Chinstrap",46.4,17.8,191,3700
"Adelie",34.5,18.1,187,2900
"Gentoo",43.6,13.9,217,4900
"Gentoo",40.9,13.7,214,4650
"Chinstrap",49.8,17.3,198,3675
"Adelie",35,17.9,192,3725
"Adelie",35.7,16.9,185,3150
"Gentoo",46.5,13.5,210,4550
"Chinstrap",46.5,17.9,192,3500
"Chinstrap",47.6,18.3,195,3850
"Adelie",37.6,17,185,3600
"Chinstrap",58,17.8,181,3700
"Adelie",39,17.5,186,3550
"Gentoo",43.2,14.5,208,4450
"Gentoo",46.5,14.4,217,4900
"Adelie",35.2,15.9,186,3050
"Gentoo",42.9,13.1,215,5000
