"species" "island" "culmen_length_mm" "culmen_depth_mm" "flipper_length_mm" "body_mass_g" "sex"
"Chinstrap" "Dream" 50.5 19.6 201 4050 "MALE"
"Gentoo" "Biscoe" 50.8 17.3 228 5600 "MALE"
"Chinstrap" "Dream" 53.5 19.9 205 4500 "MALE"
"Adelie" "Biscoe" 41.1 18.2 192 4050 "MALE"
"Chinstrap" "Dream" 55.8 19.8 207 4000 "MALE"
"Gentoo" "Biscoe" 46.8 15.4 215 5150 "MALE"
"Adelie" "Biscoe" 42.2 19.5 197 4275 "MALE"
"Gentoo" "Biscoe" 50.7 15 223 5550 "MALE"
"Adelie" "Dream" 40.2 20.1 200 3975 "MALE"
"Chinstrap" "Dream" 50.2 18.8 202 3800 "MALE"
"Adelie" "Dream" 38.8 20 190 3950 "MALE"
"Gentoo" "Biscoe" 49 16.1 216 5550 "MALE"
"Gentoo" "Biscoe" 48.7 15.1 222 5350 "MALE"
"Gentoo" "Biscoe" 49.3 15.7 217 5850 "MALE"
"Gentoo" "Biscoe" 50.5 15.9 225 5400 "MALE"
"Chinstrap" "Dream" 51.4 19 201 3950 "MALE"
"Adelie" "Dream" 40.9 18.9 184 3900 "MALE"
"Adelie" "Torgersen" 41.5 18.3 195 4300 "MALE"
"Gentoo" "Biscoe" 50 15.2 218 5700 "MALE"
"Adelie" "Torgersen" 46 21.5 194 4200 "MALE"
"Gentoo" "Biscoe" 45.2 15.8 215 5300 "MALE"
"Gentoo" "Biscoe" 55.1 16 230 5850 "MALE"
"Gentoo" "Biscoe" 44.4 17.3 219 5250 "MALE"
"Chinstrap" "Dream" 49 19.5 210 3950 "MALE"
"Gentoo" "Biscoe" 48.6 16 230 5800 "MALE"
"Adelie" "Dream" 41.3 20.3 194 3550 "MALE"
"Gentoo" "Biscoe" 48.2 15.6 221 5100 "MALE"
"Gentoo" "Biscoe" 51.1 16.5 225 5250 "MALE"
"Adelie" "Biscoe" 40.6 18.8 193 3800 "MALE"
"Gentoo" "Biscoe" 45.2 16.4 223 5950 "MALE"
"Adelie" "Biscoe" 37.6 19.1 194 3750 "MALE"
"Adelie" "Torgersen" 39.1 18.7 181 3750 "MALE"
"Chinstrap" "Dream" 52 18.1 201 4050 "MALE"
"Gentoo" "Biscoe" 54.3 15.7 231 5650 "MALE"
"Gentoo" "Biscoe" 49.4 15.8 216 4925 "MALE"
"Chinstrap" "Dream" 54.2 20.8 201 4300 "MALE"
"Adelie" "Dream" 36.3 19.5 190 3800 "MALE"
"Adelie" "Dream" 40.8 18.4 195 3900 "MALE"
"Adelie" "Torgersen" 37.2 19.4 184 3900 "MALE"
